,AAPL,AIG,DIS,GE,HD,HON,HPQ,IBM,INTC,MMM,MO,MRK,MSFT,DJI
2006/9/27,76.41,66.29,31.04,35.34,36.46,41.03,35.39,82.09,20.39,74.65,77.29,42.4,27.44,11689.2
2006/9/28,77.01,66.24,30.93,35.48,36.7,41.37,35.97,81.99,20.77,74.6,76.97,42.06,27.4,11718.5
2006/9/29,76.98,66.26,30.91,35.3,36.27,40.9,36.69,81.94,20.57,74.42,76.55,41.9,27.35,11679.1
2006/10/2,74.86,66.3,30.53,35.5,36.34,41.35,37.66,81.87,20.44,73.59,76.54,41.67,27.36,11670.3
2006/10/3,74.08,66.69,31,35.71,36.83,41.9,37.42,81.65,20.57,74.03,75.64,41.99,27.37,11727.3
2006/10/4,75.38,67.15,31.19,36.1,37.49,42.45,38.02,83.1,20.82,74.87,76.9,41.94,27.94,11850.6
2006/10/5,74.83,67.24,31.07,36.29,37.26,42.77,37.84,82.92,20.78,75.92,78.4,41.42,27.92,11866.7
2006/10/6,74.22,67.02,31.34,36.14,37.14,42.31,37.72,83.14,20.63,75.95,78.62,41.86,27.87,11850.2
2006/10/9,74.63,66.81,31.39,36.16,37.7,42.24,38,84,20.62,75.8,78.75,41.86,27.72,11857.8
2006/10/10,73.81,66.85,31.25,36.3,37.76,42.23,37.93,84.19,20.89,75.2,78.05,41.82,27.69,11867.2
2006/10/11,73.23,67.03,31.31,36.17,37.92,42.1,37.87,84.19,20.89,75.47,78.83,42.19,27.54,11852.1
2006/10/12,75.26,67.35,31.3,36.22,37.9,42.31,38.42,84.7,21.49,75.43,78.78,42.76,28.22,11947.7
2006/10/13,75.02,67.27,31.11,35.98,36.9,42.61,38.86,86.08,21.6,75.4,79.63,43.2,28.37,11960.5
2006/10/16,75.4,67.38,31.02,35.56,36.35,43,38.76,86.71,21.61,75.75,79.08,43.76,28.45,11980.6
2006/10/17,74.29,67.21,31.1,35.56,35.76,42.64,39.06,86.95,20.9,75.8,78.25,43.96,28.44,11950
2006/10/18,74.53,67.02,31.58,35.56,35.89,42.63,39.01,89.82,21.11,75.53,78.34,44.48,28.52,11992.7
2006/10/19,78.99,66.61,31.59,35.28,35.91,41.58,39.56,89.86,21.03,76.4,80.19,44.49,28.29,12011.7
2006/10/20,79.95,66.48,31.45,35.47,35.99,41.7,39.38,90.48,21.33,78.47,79.67,45.64,28.43,12002.4
2006/10/23,81.46,66.84,31.28,35.53,36.24,42.09,39.87,91.56,21.45,80.09,80.16,45.7,28.45,12116.9
2006/10/24,81.05,66.7,31.38,35.42,36.5,42.82,39.44,91.49,21.62,79.89,79.82,45.93,28.28,12127.9
2006/10/25,81.68,66.83,31.2,35.61,36.6,42.87,39.17,91.83,21.72,79.46,82.1,46.07,28.31,12134.7
2006/10/26,82.19,67.78,31.98,35.59,37.38,42.82,39.17,91.54,21.77,79.24,81.57,46.21,28.35,12163.7
2006/10/27,80.41,67.39,31.73,35.21,37.07,42.3,38.46,90.76,21.1,78.95,81.85,46.09,28.34,12090.2
2006/10/30,80.42,67.39,31.86,35.2,37.25,42.44,38.92,91.5,21.26,78.94,81.7,45.64,28.53,12086.5
2006/10/31,81.08,67.17,31.46,35.11,37.33,42.12,38.74,92.33,21.34,78.84,81.33,45.42,28.71,12080.7
2006/11/1,79.16,66.77,31.73,34.9,37.35,42.2,38.55,91.8,21.02,78.84,81.45,45.67,28.81,12031
2006/11/2,78.98,66.68,31.7,34.71,37.2,41.87,38.59,91.68,20.68,78.88,81.36,45.4,28.77,12018.5
2006/11/3,78.29,66.82,31.89,34.77,37.2,41.71,38.22,91.41,20.51,78.58,81.18,45.1,28.73,11986
2006/11/6,79.71,67.5,32.46,35.27,37.22,42,38.73,92.6,20.82,79.59,81.28,45.81,28.84,12105.5
2006/11/7,80.51,67.87,32.85,35.54,37.23,42.42,38.7,92.75,20.8,79.42,80.33,45.9,28.95,12156.8
2006/11/8,82.45,68.38,33.1,35.58,37.25,42.33,38.88,92.59,20.71,79.42,81.45,44.34,28.98,12176.5
2006/11/9,83.34,68.04,33.58,35.29,36.85,42.2,39.56,92.42,20.42,78.9,80.86,42.88,29.26,12103.3
2006/11/10,83.12,69.63,32.4,35.17,36.64,42.54,39.99,91.76,20.58,79.19,80.93,43.12,29.24,12108.4
2006/11/13,84.35,70.65,32.26,35.36,36.4,42.97,40.22,92.07,21,79.5,80.84,43.46,29.35,12131.9
2006/11/14,85,71.24,32.53,35.59,37.96,42.96,40.67,93.29,21.88,80.09,81.14,43.89,29.23,12218
2006/11/15,84.05,71.99,32.69,35.79,37.62,43.35,39.79,93.11,22.32,80.71,82.25,44.15,29.12,12251.7
2006/11/16,85.61,72.36,33.06,35.96,37.81,43.32,40.13,93.47,22.33,80.29,83.57,44.65,29.47,12305.8
2006/11/17,85.85,72.05,32.94,36.25,38.28,42.94,39.77,93.81,22.1,81.4,85.01,45.06,29.4,12342.5
2006/11/20,86.47,71.92,33.12,35.98,38.41,42.68,39.71,93.25,22.27,81.38,84.89,44.57,29.89,12316.5
2006/11/21,88.6,71.84,33.23,35.8,37.92,42.92,39.99,93.08,21.57,81.64,84.11,44.22,29.92,12321.6
2006/11/22,90.31,71.57,32.99,35.99,38.1,43.01,39.72,93.52,21.73,81.47,84.12,44.38,29.92,12327
2006/11/24,91.63,71.2,32.91,35.69,37.72,42.76,39.56,93.35,21.59,81.15,83.75,44.18,29.76,12280.2
2006/11/27,89.54,70.25,32.59,35.45,37.59,42.19,38.64,91.45,21.02,80.23,83.42,43.62,29.48,12121.7
2006/11/28,91.81,69.85,32.89,35.2,37.07,42.24,38.87,91.35,20.98,80.41,83.65,43.67,29.39,12136.5
2006/11/29,91.8,70.13,32.88,35.35,37.62,42.72,39.39,91.52,21.24,80.98,84.33,44.56,29.57,12226.7
2006/11/30,91.66,70.32,33.05,35.28,37.97,42.98,39.46,91.92,21.4,81.46,84.21,44.51,29.36,12221.9
2006/12/1,91.32,69.77,33.09,35.28,38.97,42.81,39.44,91.25,20.93,79.98,84,45.06,29.12,12194.1
2006/12/4,91.12,70.1,33.44,35.39,39.2,43.61,39.86,93.51,21.22,80.89,84.4,44.7,29.33,12283.8
2006/12/5,91.27,70.3,34.2,35.27,39.37,43.33,39.91,94.48,21.12,80.56,84.03,45.39,29.13,12331.6
2006/12/6,89.83,70.26,34.1,35.11,39.92,42.9,40.14,94.12,20.9,79.8,84.16,44.67,28.99,12309.2
2006/12/7,87.04,70.27,34.14,35.16,38.93,42.59,39.86,94.23,20.65,79.56,84.96,43.95,28.85,12278.4
2006/12/8,88.26,70.35,34.39,35.27,38.8,42.48,39.64,93.86,20.68,78.56,84.83,43.93,29.4,12307.5
2006/12/11,88.75,71,34.52,35.22,38.79,42.2,40.01,93.64,20.7,78.85,85.02,44.01,29.54,12328.5
2006/12/12,86.14,71.1,34.54,35.64,38.7,42.03,39.83,94.12,20.73,79.01,84.79,43.62,29.43,12315.6
2006/12/13,89.05,71.15,34.45,35.5,39.11,41.86,39.67,94.77,20.7,79.25,84.58,43.34,29.55,12317.5
2006/12/14,88.55,72.03,34.72,36.21,39.97,42.69,39.91,95.36,20.77,78.77,84.97,43.6,30.07,12416.8
2006/12/15,87.72,72.13,34.3,37.36,39.89,43.62,39.94,95.3,20.96,78.31,85.21,44,30.19,12445.5
2006/12/18,85.47,72.81,34.49,38,39.96,43.22,40.03,95.44,20.84,78.35,85.63,43.83,29.89,12441.3
2006/12/19,86.31,72.23,34.85,38.01,39.64,44.35,40.43,96,20.66,78.11,85.92,43.51,29.99,12471.3
2006/12/20,84.76,71.95,34.61,38.15,39.13,44.56,41.34,96,20.6,78.83,85.68,43.3,30.09,12463.9
2006/12/21,82.9,71.95,34.54,37.77,38.91,44.76,40.8,95.91,20.37,78.81,85.72,43.27,29.98,12421.2
2006/12/22,82.2,71.67,34.16,37.57,38.89,44.63,40.63,95.25,20.08,78.35,84.78,42.83,29.64,12343.2
2006/12/26,81.51,72.01,34.53,37.71,39.06,44.88,40.93,95.66,20.15,78.03,85.2,42.79,29.99,12407.6
2006/12/27,81.52,72.29,34.54,37.79,39.56,45.38,41.6,97.2,20.4,78.47,85.81,43.37,30.02,12510.6
2006/12/28,80.87,71.88,34.52,37.48,39.73,45.46,41.36,96.97,20.42,78.16,86.23,43.55,29.98,12501.5
2006/12/29,84.84,71.66,34.27,37.21,40.16,45.24,41.19,97.15,20.25,77.93,85.82,43.6,29.86,12463.2
2007/1/3,83.8,72.15,34.2,37.97,41.07,45.1,41.62,97.27,20.35,78.26,86.51,44.02,29.86,12474.5
2007/1/4,85.66,71.51,34.47,37.75,40.57,45.08,41.68,98.31,21.17,77.95,87.65,45.11,29.81,12480.7
2007/1/5,85.05,71.18,34.19,37.56,39.79,44.65,42.2,97.42,21.1,77.42,87.15,44.3,29.64,12398
2007/1/8,85.47,71.53,34.5,37.55,39.49,44.92,41.97,98.9,21.01,77.59,87.98,44.29,29.93,12423.5
2007/1/9,92.57,71.29,34.45,37.55,39.32,45.24,42.2,100.07,21.03,77.68,88.12,43.88,29.96,12416.6
2007/1/10,97,71.38,34.49,37.56,39.78,44.96,42.2,98.89,21.52,77.85,89.19,44.12,29.66,12442.2
2007/1/11,95.8,71.29,34.99,37.92,40.08,45.71,42.64,98.65,21.92,78.65,89.4,44.26,30.7,12515
2007/1/12,94.62,71.07,35.21,37.89,40.11,45.56,43.53,99.34,22.13,79.36,88.42,44.79,31.21,12556.1
2007/1/16,97.1,71.17,35.03,38.11,40.29,45.62,43.2,100.82,22.3,79.56,89.29,44.95,31.16,12582.6
2007/1/17,94.95,71.41,35.25,37.98,40.29,45.54,42.49,100.02,21.04,78.91,88.57,45.01,31.1,12577.2
2007/1/18,89.07,70.94,35.85,38,40.87,45.04,42.34,99.45,20.65,78.81,87.95,45.74,31,12567.9
2007/1/19,88.5,71.37,35.5,36.95,40.55,45.29,42,96.17,20.82,79.25,87.26,45.6,31.11,12565.5
2007/1/22,86.79,70.46,35.15,36.75,40.05,44.26,42.02,97.11,20.79,78.49,87.07,45.3,30.72,12477.2
2007/1/23,85.7,69.8,35.58,36.55,40.43,44.46,42.31,97.08,20.55,78.85,87.76,45.73,30.74,12533.8
2007/1/24,86.7,69.88,35.35,36.64,40.69,44.42,42.39,97.4,20.84,79.49,87.92,46.22,31.09,12621.8
2007/1/25,86.25,68.89,34.94,36.34,40.09,44.2,41.71,97.51,20.6,79.01,87.85,46,30.45,12502.5
2007/1/26,85.38,68.59,34.55,36.07,39.94,44.13,41.69,97.45,20.53,78.69,88,45.99,30.6,12487
2007/1/29,85.94,68.35,34.68,36.19,39.91,44.23,42.42,98.54,20.89,78.96,88.06,45.51,30.53,12490.8
2007/1/30,85.55,68.2,35.04,36.03,40.17,45.14,43.11,99.37,20.93,74.7,87.54,44.91,30.48,12523.3
2007/1/31,85.73,68.45,35.17,36.05,40.74,45.69,43.28,99.15,20.96,74.3,87.39,44.75,30.86,12621.7
2007/2/1,84.74,68.91,35.01,36.23,41.08,45.93,42.36,99,21.11,73.99,87.48,45.13,30.56,12673.7
2007/2/2,84.75,69.07,35.18,36.27,40.83,46.16,42.07,99.17,21.23,73.87,86.56,44.73,30.19,12653.5
2007/2/5,83.94,69.3,35.26,36.37,41.03,46.02,42.81,100.38,21.28,73.93,86.88,44.58,29.61,12661.7
2007/2/6,84.15,69.5,35.19,36.31,41.27,46.62,42.01,99.85,21.31,74.27,86.02,44.64,29.51,12666.3
2007/2/7,86.15,69.64,35.48,36.1,41.36,46.57,42.3,99.54,21.51,74.65,85.98,44.26,29.37,12666.9
2007/2/8,86.18,69.59,35.29,35.74,41.09,46.57,42.47,99.62,21.36,74.64,85.22,43.92,29.26,12637.6
2007/2/9,83.27,68.94,34.36,35.53,41,46.24,42.23,98.55,21.03,74.54,85.39,43.82,28.98,12580.8
2007/2/12,84.88,68.57,33.92,35.64,41.44,46.09,42.1,98.58,20.8,74.59,85.6,43.85,28.94,12552.5
2007/2/13,84.7,69.12,34.59,35.77,41.76,46.51,42.59,98.29,20.87,76.43,86.05,43.95,29.01,12654.8
2007/2/14,85.3,69.26,34.75,36.47,41.73,47.54,42.83,99.2,21.14,76.84,86.39,44.06,29.4,12741.9
2007/2/15,85.21,69.12,34.67,36.14,41.66,47.57,42.68,98.92,21.31,76.91,86.08,43.88,29.46,12765
2007/2/16,84.83,69.56,34.89,35.87,41.44,47.83,42.77,98.99,21.23,76.84,86.2,44.28,28.74,12767.6
2007/2/20,85.9,69.91,35.05,36.11,41.34,48.12,43.13,99.35,21.18,76.58,85.95,44.5,28.83,12786.6
2007/2/21,89.2,69.69,35.14,35.91,41.3,48.31,41.1,99.09,20.88,76.23,85.36,43.95,29.35,12738.4
2007/2/22,89.51,69.34,35.16,35.4,41.18,48.19,40.78,98.5,20.97,76.35,84.84,43.2,29.39,12686
2007/2/23,89.07,68.79,35.14,35.1,40.96,47.69,40.82,97.73,20.76,76.21,85.38,42.94,28.9,12647.5
2007/2/26,88.51,68.68,35.11,35.34,40.79,47.62,40.29,96.91,20.85,76.12,85.67,44.48,29.07,12632.2
2007/2/27,83.93,66.77,33.1,34.66,39.82,46.16,38.92,93.96,20.03,74.5,82.67,43.18,27.87,12216.2
2007/2/28,84.61,67.11,34.25,34.91,39.59,46.4,39.35,92.94,19.86,74.08,84.28,44.15,28.17,12268.6
2007/3/1,87.06,67.41,34.39,35,39.45,46.19,38.93,92.27,19.59,73.66,84.34,43.99,28.09,12234.3
2007/3/2,85.41,69.54,33.95,34.87,39.01,45.91,38.67,90.9,19.22,73.01,83.48,44.19,27.76,12114.1
2007/3/5,86.32,69.28,33.72,34.55,38.67,45.87,38.75,91.81,19.11,73.17,82.21,44.25,27.55,12050.4
2007/3/6,88.19,69.74,34.37,34.72,38.8,46.34,39.43,93.8,19.4,73.47,84.42,44.67,27.83,12207.6
2007/3/7,87.72,69.3,34.43,34.33,38.71,46.59,40.17,93.94,19.12,73.8,85.08,43.86,27.61,12192.5
2007/3/8,88,69.36,34.69,34.45,38.8,47.31,40.27,93,19.23,74.52,85.96,44.36,27.32,12260.7
2007/3/9,87.97,69.07,34.37,34.32,38.67,47.23,40.11,93.28,19.1,74.73,86.86,44.61,27.29,12276.3
2007/3/12,89.87,68.78,34.2,34.44,38.17,47.61,40.37,94.11,19.48,75.17,86.66,44.29,27.44,12318.6
2007/3/13,88.4,67.36,33.62,34.09,37.35,46.88,39.55,92.71,19.12,74.77,84.04,43.37,26.72,12076
2007/3/14,90,67,33.73,34.31,37.56,46.9,39.79,93.76,19.23,75.8,83.9,43.27,27.4,12133.4
2007/3/15,89.57,67.05,33.79,34.52,37.49,46.98,39.7,93.45,19.14,75.99,84.75,43.19,27.28,12159.7
2007/3/16,89.59,66.87,33.61,34.36,37.51,46.94,39.91,93.25,19.15,75.28,84.73,43.09,27.33,12110.4
2007/3/19,91.13,67.86,34.09,34.67,37.72,47.21,40.21,93.99,19.11,76.36,85.22,43.42,27.83,12226.2
2007/3/20,91.48,68.38,34.38,34.77,37.93,47.14,39.61,94.5,18.99,76.38,85.83,43.63,27.84,12288.1
2007/3/21,93.87,68.69,35.17,35.48,38.74,47.7,40.19,95.36,19.34,76.9,86.1,44.25,28.52,12447.5
2007/3/22,93.96,68.21,35.33,35.81,38.33,47.58,40.45,95.19,19.16,77.78,86.15,44.17,28.27,12461.1
2007/3/23,93.52,68.12,34.99,35.82,38.22,47.71,40.43,95.03,19.27,77.97,85.47,44.45,28.02,12481
2007/3/26,95.85,67.95,35.22,36,37.91,47.34,40.44,95,19.29,77.38,84.95,44.07,28.22,12469.1
2007/3/27,95.46,67.59,34.66,35.79,37.34,46.73,40.23,94.73,19.06,77.17,85.08,43.65,27.72,12397.3
2007/3/28,93.24,67.15,34.23,35.55,36.77,46.03,39.79,94.26,18.86,76.38,86.21,43.23,27.64,12300.4
2007/3/29,93.75,67.2,34.39,35.55,36.82,45.94,40,94.57,19.09,76.09,87.14,43.95,27.75,12348.8
2007/3/30,92.91,67.22,34.43,35.36,36.74,46.06,40.14,94.26,19.13,76.43,87.81,44.17,27.87,12354.3
2007/4/2,93.65,67.15,34.47,35.29,36.79,46.15,40.31,95.21,19.13,76.28,68.22,45.01,27.74,12382.3
2007/4/3,94.5,67.64,34.92,35.32,37.63,46.74,40.89,96.1,19.31,77.46,69.65,45.38,27.87,12510.3
2007/4/4,94.27,67.32,34.64,35.11,38.11,47.25,41.1,96.21,19.38,77.16,70.44,45.37,28.5,12530
2007/4/5,94.68,67.23,34.91,35.02,38.02,47.26,41.8,96.52,19.58,76.75,70.75,45.54,28.55,12560.2
2007/4/9,93.65,67.23,34.91,34.78,38.08,47.11,41.34,96.62,20.1,76.83,69.9,45.65,28.57,12569.1
2007/4/10,94.25,66.9,34.99,34.88,38.23,46.98,40.72,96.46,20.68,76.5,70.16,45.86,28.4,12573.8
2007/4/11,92.59,66.49,34.59,34.95,37.97,46.39,40.73,95.16,20.47,76.23,69.5,45.65,28.11,12484.6
2007/4/12,92.19,66.64,34.67,35.18,38.02,46.99,41.12,95.67,20.5,76.71,69.95,46.36,28.54,12553
2007/4/13,90.24,66.91,34.72,35.38,37.89,47.03,41.18,94.93,20.46,76.72,69.56,50.21,28.61,12612.1
2007/4/16,91.43,67.61,35.02,35.36,38.56,47.38,41.19,96.18,20.69,77.16,69.37,50.32,28.73,12720.5
2007/4/17,90.35,68.15,35.15,35.2,39.44,47.64,41.21,97.12,20.98,77.28,69.57,50.01,28.85,12773
2007/4/18,90.4,68.45,34.92,35.13,39.04,48.21,40.98,94.8,21.35,77.08,70.08,49.69,28.6,12803.8
2007/4/19,90.27,68.96,34.92,35,38.91,49.06,41.15,94.29,21.81,77.58,69.4,50.15,28.69,12808.6
2007/4/20,90.97,69.53,35.28,35.13,39.21,51.4,41.37,94.58,22.16,77.75,69.55,51.49,29.02,12962
2007/4/23,93.51,69.55,35.08,34.8,39.21,51.23,41.41,95.21,21.91,77.28,69.33,51.67,28.78,12919.4
2007/4/24,93.24,69.42,34.91,34.76,39.31,52.9,41.65,98.49,21.94,77,69.92,51.6,28.79,12953.9
2007/4/25,95.35,69.98,35.32,35.41,39.5,53.99,41.87,101.46,22.26,76.97,70.47,52.39,28.99,13089.9
2007/4/26,98.84,69.79,35.17,35.84,38.99,53.69,42.04,100.9,22.09,80.45,69.33,52.43,29.1,13105.5
2007/4/27,99.92,70.14,34.98,36.84,38.47,54.89,42.29,101.17,21.87,81.55,69.6,51.86,30.12,13120.9
2007/4/30,99.8,69.91,34.98,36.86,37.87,54.18,42.14,102.21,21.5,82.77,68.92,51.44,29.94,13062.9
2007/5/1,99.47,70.03,35.47,37.1,38.43,55.08,42.92,103.17,21.8,83.61,68.81,50.98,30.4,13136.1
2007/5/2,100.39,70.42,35.7,37.31,38.75,55.5,42.93,102.22,21.93,84.42,69.11,51.23,30.61,13211.9
2007/5/3,100.4,70.65,35.69,37.34,39.06,56,42.83,102.8,21.74,84.07,69.77,51.55,30.97,13241.4
2007/5/4,100.81,70.85,35.85,37.15,38.9,56.12,43.79,102.96,21.9,84.21,69.36,51.92,30.56,13264.6
2007/5/7,103.92,71.6,36.06,37.24,38.84,55.33,43.8,103.16,21.96,84.93,69.18,52.03,30.71,13313
2007/5/8,105.06,71.75,36.55,37.08,38.63,55.79,45.01,103.29,22.15,84.78,68.66,52.24,30.75,13309.1
2007/5/9,106.88,72,36.12,37.26,39.18,56.81,44.93,104.38,22.47,85.36,68.57,52.05,30.78,13362.9
2007/5/10,107.34,72.2,35.69,36.78,38.79,56.86,44.67,104.68,22.21,84.65,68.04,51.08,30.58,13215.1
2007/5/11,108.74,72.58,36.07,36.97,38.86,57.79,45.24,105.98,22.28,85.55,68.59,52,30.89,13326.2
2007/5/14,109.36,72.47,35.98,36.6,39.01,58.7,45.02,105.57,22.12,84.83,68.83,52.08,30.97,13346.8
2007/5/15,107.52,72.07,35.94,36.64,38.3,58.01,44.75,104.83,22.01,86.17,69.41,52.62,30.9,13383.8
2007/5/16,107.34,72.46,36.01,36.83,38.37,58.14,45.21,105.87,22.18,86.01,69.99,52.69,31.07,13487.5
2007/5/17,109.44,72.2,35.99,36.53,38.3,58.22,44.87,105.31,22.23,86.67,69.7,52.46,30.98,13476.7
2007/5/18,110.02,72.22,36.02,36.96,38.88,58.7,44.58,107.99,22.7,86.9,69.95,53.25,30.83,13556.5
2007/5/21,111.98,71.99,36.44,37.1,38.63,58.3,45.22,107.04,22.63,87.06,70.85,53.79,31.05,13542.9
2007/5/22,113.54,71.94,36.27,37.34,38.53,56.98,45.58,106.7,22.99,87.78,71.68,54.15,30.69,13540
2007/5/23,112.89,71.91,36.48,37.6,38.78,56.54,45.63,105.58,22.67,87.94,71.39,54.35,30.58,13525.7
2007/5/24,110.69,71.54,35.84,37.38,38.95,55.99,45.4,103.95,21.97,87.15,70.47,53.75,30.17,13441.1
2007/5/25,113.62,71.95,36.03,37.56,38.38,56.93,45.62,105.18,22.16,87.35,70.78,53.7,30.48,13507.3
2007/5/29,114.35,71.89,35.59,37.4,38.65,57.35,45.56,105.91,22.3,87.31,71.34,53.4,30.79,13521.3
2007/5/30,118.77,72.09,35.91,37.73,38.7,57.73,45.67,106.93,22.08,87.93,71.49,52.71,31.11,13633.1
2007/5/31,121.19,72.34,35.44,37.58,38.87,57.91,45.71,106.6,22.18,87.96,71.1,52.45,30.69,13627.6
2007/6/1,118.4,72.65,35.24,37.45,39.21,58.8,45.81,106.54,22.36,88.43,71.82,52.14,30.59,13668.1
2007/6/4,121.33,72.55,35.7,37.81,39.8,58.62,45.98,106.23,22.16,88.07,71.8,51.75,30.72,13676.3
2007/6/5,122.67,72.32,35.27,37.4,38.86,58.18,45.92,105.84,21.96,87.46,70.68,51.44,30.58,13595.5
2007/6/6,123.64,72.17,34.91,37.29,38.3,57.34,46.03,102.41,21.49,86.62,70.81,50.76,30.29,13465.7
2007/6/7,124.07,71.38,34.26,36.76,37.66,56.4,45.41,101.8,21.31,84.88,69.55,50.34,29.62,13266.7
2007/6/8,124.49,71.53,34.2,37.32,37.95,57.38,45.78,103.07,21.83,85.94,70.3,50.14,30.05,13424.4
2007/6/11,120.19,71.65,34.18,37.46,37.71,57.02,45.89,103.22,21.93,85.3,70.22,51.05,30.02,13425
2007/6/12,120.38,71.54,33.56,37.05,37.36,56.64,45.06,102.34,22.2,85.04,70.14,50.22,29.85,13295
2007/6/13,117.5,72.51,33.4,37.64,37.73,57.55,45.5,103.12,22.67,87.19,70.26,50.67,30.39,13482.3
2007/6/14,118.75,72.34,33.79,37.8,37.79,58.24,45.67,103.85,23.23,87.42,70.47,50.23,30.52,13553.7
2007/6/15,120.5,72.54,34.4,38.12,37.95,58.87,45.71,105.09,24.24,87.67,70.67,50.73,30.49,13639.5
2007/6/18,125.09,72.5,34.54,38.07,37.96,57.81,45.89,105.33,24.17,87.62,70.16,50.63,30.51,13613
2007/6/19,123.66,72.61,34.76,39.29,38.27,57.87,45.9,106.5,24.1,87.82,69.52,50.32,30.46,13635.4
2007/6/20,121.55,72.02,34.19,39.07,40.03,56.55,45.04,106,23.94,87.08,68.27,49.26,30.01,13489.4
2007/6/21,123.9,72.05,34.19,38.8,39.95,56.38,45.5,106.6,24.29,87.41,68.58,49.3,30.22,13545.8
2007/6/22,123,71.25,34.14,38.24,39.36,55.68,45.18,104.44,23.7,86.43,68.2,48.55,29.49,13360.2
2007/6/25,122.34,71.11,34.06,38.21,39.18,55.68,44.94,105.1,23.48,86.25,68.75,48.34,29.49,13352
2007/6/26,119.65,70.94,34.06,38.02,39.15,56.01,44.64,105.33,23.38,86.08,69.63,49.12,29.52,13337.7
2007/6/27,121.89,70.6,34.27,38.06,39.76,56.31,45.19,105.43,23.79,87.13,70.2,50.33,29.87,13427.7
2007/6/28,120.56,70.45,33.85,38.12,39.52,56.38,44.61,105.95,23.92,86.85,69.92,50.48,29.83,13422.3
2007/6/29,122.04,70.03,34.14,38.28,39.35,56.28,44.62,105.25,23.74,86.79,70.14,49.8,29.47,13408.6
2007/7/2,121.26,70.2,34.52,38.26,39.37,57.08,45.19,105.01,24.27,88,70.9,49.57,29.74,13535.4
2007/7/3,127.17,70.44,34.54,38.7,39.2,57.2,45.58,106.58,24.59,87.94,70.99,49.83,30.02,13577.3
2007/7/5,132.75,70.27,34.63,38.54,39.83,58.36,45.9,108.05,24.6,87.76,71.16,49.82,29.99,13565.8
2007/7/6,132.3,70.08,34.49,38.48,40.3,59.08,45.98,109.03,24.68,88.11,71.6,49.46,29.97,13611.7
2007/7/9,130.33,70.23,34.46,38.62,40.23,58.53,45.36,108.97,24.96,88.11,71.7,49.42,29.87,13650
2007/7/10,132.35,68.93,33.89,37.9,40.25,57.82,44.94,108.63,24.97,87.22,70.43,48.66,29.33,13501.7
2007/7/11,132.39,68.64,33.98,38.2,40.48,58.74,45.65,109.1,24.57,87.88,70.89,48.9,29.49,13577.9
2007/7/12,134.07,69.31,34.25,39,40.94,60.44,47.35,109.28,26,89.93,72.07,50.77,30.07,13861.7
2007/7/13,137.73,69.55,34.37,39.5,40.87,60.14,47.25,108.6,25.97,90.22,71.7,50.85,29.82,13907.2
2007/7/16,138.1,69.79,34.47,40.12,40.58,60.6,47.44,109.66,25.95,90.87,71.31,50.83,30.03,13951
2007/7/17,138.91,69.66,34.68,40.71,40.15,60.84,47.51,110.77,26.33,91.08,71.28,50.27,30.78,13971.5
2007/7/18,138.12,69.5,34.6,40.45,40.04,60.54,47.14,111.08,25.06,91.48,70.3,49.94,30.92,13918.2
2007/7/19,140,69.66,34.47,40.71,39.7,60.98,48.4,115.86,25.26,91.17,70.63,49.34,31.51,14000.4
2007/7/20,143.75,69.04,34.34,40.12,39.39,60.96,48.54,114.81,24.55,90.21,69.8,49.02,31.16,13851.1
2007/7/23,143.7,68.85,35.03,40.82,38.96,61.45,48.43,116.38,24.72,90.87,69.62,52.33,31.19,13943.4
2007/7/24,134.89,67.71,34.75,40.22,37.95,60.68,47.61,116.17,24.53,89.69,68.06,51.72,30.8,13717
2007/7/25,137.26,68.16,34.93,40.42,38.04,60.88,47.54,118.1,24.5,89.62,67.85,53.38,30.71,13785.1
2007/7/26,146,66.62,34.08,39.53,37.3,59.42,47.1,116.53,24,90.05,66.8,51.97,29.98,13473.6
2007/7/27,143.85,65.36,33.74,38.79,36.75,58.61,46.46,115.62,23.54,90.05,65.17,50.12,29.39,13265.5
2007/7/30,141.43,65.21,34.01,39.27,37.81,59.44,46.14,114.52,23.85,90.18,65.78,50.12,29.4,13358.3
2007/7/31,131.76,64.18,33,38.76,37.17,57.51,46.03,110.65,23.62,88.92,66.47,49.65,28.99,13212
2007/8/1,135,64.57,33.83,38.95,37.77,57.15,46.73,112.04,23.8,89.07,66.58,51.02,29.3,13362.4
2007/8/2,136.49,63.81,34.36,39.03,37.82,59.05,48.23,113.23,24.3,89.12,67.14,51.64,29.52,13463.3
2007/8/3,131.85,61.64,33.9,38.06,36.19,58.18,47.41,111.89,23.91,87.56,66.6,50.29,28.96,13181.9
2007/8/6,135.25,64.56,34.3,39.1,36.89,58.95,48.46,113.89,24.13,87.77,68.98,51.35,29.54,13468.8
2007/8/7,135.03,65.55,34.55,39.48,36.4,58.87,48.48,113.53,24.13,88.03,69.22,51.63,29.55,13504.3
2007/8/8,134.01,66.48,34.29,40.46,37.8,57.75,49.4,112.98,24.68,88.15,69.6,52.36,30,13657.9
2007/8/9,126.39,64.3,33,38.94,35.79,56.78,47.02,110.73,23.92,86.86,67.67,51.44,29.3,13270.7
2007/8/10,125,64.67,33.16,38.23,35.92,56.01,47.21,112.64,23.98,85.97,67.39,50.88,28.71,13239.5
2007/8/13,127.79,64.78,33.24,38.17,35.24,56.49,48.43,112.71,24.02,86.25,67.41,50.56,28.63,13236.5
